team,player,track,score
TMNG,Kaguya,Christmas Court,10
TMNG,Kaguya,Bowser's Termination Station,6
TMNG,Kaguya,Tropical Factory,4
TMNG,Kaguya,N64 Banshee Boardwalk,2
TMNG,Kaguya,Haunted Gardens,3
TMNG,Kaguya,Lava Lake,3
TMNG,Ultimate Madoka (bag),Obstagoon's Palace,0
TMNG,Ultimate Madoka (bag),Twin Peaks,1
TMNG,Ultimate Madoka (bag),GBA Cheep-Cheep Island,1
TMNG,Ultimate Madoka (bag),Abandoned Boardwalk,0
TMNG,Ultimate Madoka (bag),Skyline Avenue,1
TMNG,Ultimate Madoka (bag),Wolf Castlegrounds,1
TMNG,Ultimate Madoka (bag),Christmas Court,0
TMNG,Ultimate Madoka (bag),Bowser's Termination Station,0
TMNG,Ultimate Madoka (bag),Tropical Factory,0
TMNG,Ultimate Madoka (bag),N64 Banshee Boardwalk,1
TMNG,Ultimate Madoka (bag),Haunted Gardens,0
TMNG,Ultimate Madoka (bag),Lava Lake,0
Za,june,Obstagoon's Palace,6
Za,june,Twin Peaks,3
Za,june,GBA Cheep-Cheep Island,4
Za,june,Abandoned Boardwalk,15
Za,june,Skyline Avenue,12
Za,june,Wolf Castlegrounds,10
Za,june,Christmas Court,15
Za,june,Bowser's Termination Station,15
Za,june,Tropical Factory,3
Za,june,N64 Banshee Boardwalk,15
Za,june,Haunted Gardens,8
Za,june,Lava Lake,6
Za,Sparkster,Obstagoon's Palace,10
Za,Sparkster,Twin Peaks,2
Za,Sparkster,GBA Cheep-Cheep Island,10
Za,Sparkster,Abandoned Boardwalk,3
Za,Sparkster,Skyline Avenue,10
Za,Sparkster,Wolf Castlegrounds,12
Za,Sparkster,Christmas Court,6
Za,Sparkster,Bowser's Termination Station,12
Za,Sparkster,Tropical Factory,12
Za,Sparkster,N64 Banshee Boardwalk,6
Za,Sparkster,Haunted Gardens,4
Za,Sparkster,Lava Lake,2
Za,Trevor,Obstagoon's Palace,8
Za,Trevor,Twin Peaks,8
Za,Trevor,GBA Cheep-Cheep Island,8
Za,Trevor,Abandoned Boardwalk,10
Za,Trevor,Skyline Avenue,2
Za,Trevor,Wolf Castlegrounds,8
Za,Trevor,Christmas Court,3
Za,Trevor,Bowser's Termination Station,3
Za,Trevor,Tropical Factory,15
Za,Trevor,N64 Banshee Boardwalk,4
Za,Trevor,Haunted Gardens,12
Za,Trevor,Lava Lake,4
Za,chris,Obstagoon's Palace,2
Za,chris,Twin Peaks,4
Za,chris,GBA Cheep-Cheep Island,12
Za,chris,Abandoned Boardwalk,12
Za,chris,Skyline Avenue,4
Za,chris,Wolf Castlegrounds,2
Za,chris,Christmas Court,8
Za,chris,Bowser's Termination Station,2
Za,chris,Tropical Factory,2
Za,chris,N64 Banshee Boardwalk,12
Za,chris,Haunted Gardens,10
Za,chris,Lava Lake,10
